review,author,date,star_rating
"sesuai gambar 
tpi lum dicoba muat apa ga
mksih 

kurir baru ",Ibu E.,25 Okt 2023,5
bahan oke lembut pas anak saya ,0***1,26 Des 2023,5
"Pas sempurna dengan desain high waist., Celana kargo yang trendi dan fungsional.,  ",8***7,4 minggu lalu,5
celananya bagus meskipun kegedean  ,Denaya F.,23 Nov 2023,5
baguss barang sesuai respons penjual cepatt dan barangnya orii juga terimakasih 🌷🌷 ,*********649,21 Des 2023,5
baguss barang sesuai respons penjual cepatt dan barangnya orii juga terimakasih 🌷🌷 ,*********649,21 Des 2023,5
sesuai pesanan bagusss  ,Suha S.,28 Des 2023,5
"realpic cuman kegedean Bagus untuk aktivitas di luar ruangan.,  ",ASEP S.,15 Des 2023,5
"Celana kargo yang stylish dan modis., Beragam pilihan warna yang dapat dipilih., Mudah dipadukan dengan berbagai outfit.,  ",Siti N.,3 hari lalu,5
bgus celana sya suka,0***0,2 minggu lalu,5
"celanay bagus banget sesuai bahan lembut amah tokohy lancar trus langganan kta
 ",Third-Party-User,15 Des 2023,5
baguss bhn adem ,8***0,06 Des 2023,5
barang ok ....semoga awet👍 ,ina P.,2 minggu lalu,5
"Bahan:mntap karet
 Ukuran:pas
 Rancangan:pas ok ",Roswitha Y.,4 hari lalu,5
klo yg army pas ukuran mau pun desain.y mksih ,Warno 0.,08 Jan 2024,5
pas ok thank  ,SANTIAH D.,1 hari lalu,5
"Rancangan:tipis
 Ukuran:gede bngt
 Bahan:tipis
bagus tapi tipis kegedean jga busettt ",8***0,01 Jan 2024,5
bahan nya halus dingin sedikit kekecilan buat aku padahal bb 55 tpi kekecilan tpi baguss ,Tiara P.,25 Des 2023,5
bagus bngt yebellll ,Neng R.,20 Des 2023,5
bagus sesuai pesanan  ,anita P.,21 Okt 2023,5
bagus banget suka dehh jdi langganan disini pokok nya the best ,*********223,18 Des 2023,5
Bagus sesuai pesanan  ,anita P.,21 Okt 2023,5
celananya bagus pelangganku suka🥰 ,Saya N.,24 Okt 2023,5
"Celana kargo serbaguna untuk berbagai acara., Mudah dipadukan dengan berbagai outfit.,  ",Mamah N.,21 Des 2023,5
"bagus banget celanaya
 Bahan:nya lembut
 Ukuran:pas
 Rancangan:nenx bakalan order warna lain👍👍 ",c***.,25 Okt 2023,5
"Beragam pilihan warna yang dapat dipilih., Mudah dipadukan dengan berbagai outfit., Celana kargo yang stylish dan modis., Celana kargo yang trendi dan fungsional., Celana kargo serbaguna untuk berbagai acara.,  ",Siti R.,2 minggu lalu,5
"Bagus untuk aktivitas di luar ruangan., Kain nyaman dan bernapas.,  ",Sandy A.,2 hari lalu,5
sumpah bagus banget ,Cut N.,2 minggu lalu,5
"calana cargo nya sangat bangua
 Bahan:lenbut enak di pakei 
 Ukuran:jumbo  
  cocok banget ",desi,2 minggu lalu,5
"Bahan:lembut
 Ukuran:standar
 ",meisarisuherlan,13 Jan 2024,5
"sipp ,,cuman kebesara di aku ,, oerder lagi ahh ",Ochi,09 Jan 2024,5
"Celana kargo yang trendi dan fungsional., Mudah dipadukan dengan berbagai outfit., Beragam pilihan warna yang dapat dipilih., Celana kargo yang stylish dan modis.,  ",Lia S.,08 Des 2023,5
bagus bngt ,Warno 0.,13 Jan 2024,5
realpictttt ,cndyfnksri,25 Des 2023,5
bgus bget. ,Azmys,30 Des 2023,5
TIDAK sesuai ,Ila P.,14 Des 2023,5
"Celana kargo yang trendi dan fungsional., Celana kargo yang stylish dan modis., Kain nyaman dan bernapas., Celana kargo serbaguna untuk berbagai acara.,  ",Dedeh W.,25 Des 2023,5
"Bagus untuk aktivitas di luar ruangan., Desain highwaist sedang trendi.,  ",0***1,3 hari lalu,5
lumayan lah ,Rayen A.,01 Des 2023,5
"Kain nyaman dan bernapas.,  ",*********824,11 Jan 2024,5
"baguss tpi sayang ga tercantum ukurannya jdi kegedean and ga kepake syg bngtt, kalo dibilang agak kecewa sih tpi gpp bagus bingit ko clana nya  ",Zia S.,1 minggu lalu,5
lmyan bagus sesuai dngn harga anak aq suka.. mau di pake buat jln² ,Lista F.,28 Des 2023,5
"Bahan yang tahan lama untuk penggunaan jangka panjang., Beragam pilihan warna yang dapat dipilih., Desain highwaist sedang trendi., Kain nyaman dan bernapas.,  ",anita P.,09 Des 2023,5
"Bagus, bahanya juga adem banget nyaman di pakai. ukurannya pas  ",8***0,23 Des 2023,5
makasih y kk,Erna R.,09 Nov 2023,5
Bahan:bagusss ,Nurr,2 minggu lalu,5
"Desain highwaist sedang trendi., Mudah dipadukan dengan berbagai outfit., Celana kargo yang stylish dan modis.,  ",Risma P.,30 Des 2023,5
"bagus dan sesuai dengan foto
 Bahan:bagus
 Ukuran:sesuai badan kita
 ",Armi A.,30 Okt 2023,5
"celana cargo nya sangat bangus 
 Bahan:lembut banget 
 Ukuran:jumbo 
           sayah sangat suka  ",desi,2 minggu lalu,5
"celananya pas,saya syuka sekali,cuma pengirimannya lama.. ",8***9,01 Jan 2024,5
"baguus,bagan lembut,tidak terlalu tebal, tidak terawang, kualitas baik, dan untuk aku bb 58 tinggi 163, ada karet nya juga jadi nyaman ",Y***.,18 Des 2023,5
"Bahan:lembut
 Ukuran:trlalu ngetat di badan aku😅
 ",Cecep S.,24 Nov 2023,5
Alhamdulillah dgn harga segitu bagus bangt mnurt aku real pick pokonya ttp jga ke amanahannya...makasih semuanya ,K***m,20 Des 2023,5
"Celana kargo serbaguna untuk berbagai acara., Bagus untuk aktivitas di luar ruangan.,  ",Afyulida R.,02 Des 2023,5
kekecilan  ,Ami L.,21 Okt 2023,5
"Bahan:bagus bangat aku suka
 Ukuran:pas di badan aku pokoknya bagus
 ",8***0,04 Des 2023,5
bagus bgt cmn ukuran XL kebesaran di perut aku yg kecil 😂 ,A***.,2 minggu lalu,5
aku suka bngat sama celananya......bahannya lmbut dan nyam digunakan🙏 ,*********172,08 Nov 2023,5
tdk sesui sngt buruk ,Third-Party-User,30 Nov 2023,5
"gak sesuai celananya
 ",M A.,04 Des 2023,5
"Bagus untuk aktivitas di luar ruangan.,  ",0***1,14 Des 2023,5
sesuai semoga cocok😍☺ ,Irna T.,11 Des 2023,5
"alhamdulilah bagus banget, Bahn adem, enk dipake, mksih semuanya, 🥰🥰 ",*********601,21 Des 2023,5
"Bagus untuk aktivitas di luar ruangan., sesuai bngtt celana nya,makasihhh☺️ ",Santi,08 Jan 2024,5
bagus banget kainnya melar ,R***.,16 Jan 2024,5
"Bagus, lembuuut, harga muraaaah kualitas baguuuuuuuus👍🏻👍🏻👍🏻👍🏻👍🏻 ",Mira R.,06 Jan 2024,5
Alhamdulillah bagus dan gk mengecewakan semoga tokoh ini selalu amanah aaamiiiin ,Ani M.,01 Jan 2024,5
bagus sekali sesuai dengan harga. bahan sesuai dengan harga  ,Al-habsyi,18 Des 2023,5
baguss tapi sayang nya kepanjangan di saya😓😓 ,Fitri S.,27 Des 2023,5
bagus celananya cuma dipaha aga kekecilan dikit apa paha aku yg terlalu gemoy😁 ,*********654,28 Nov 2023,5
baguss barang sesuai respons penjual cepatt dan barangnya orii juga terimakasih 🌷🌷 ,*********649,21 Des 2023,5
"Kain nyaman dan bernapas., Mudah dipadukan dengan berbagai outfit., Celana kargo yang trendi dan fungsional., Desain highwaist sedang trendi.,  ",8***9,04 Des 2023,5
"Kain nyaman dan bernapas.,  ",8***5,3 hari lalu,5
"yg satu ngga sesuai pesanan 🤭
pesen 2 size yg berbeda tapi pas datang sama aja size-nya 🙃 ",r***.,01 Des 2023,5
sangat kecewa  bahan gak sesuai trus sobek sobek,Reni,23 Des 2023,5
"Bahan:bahan tebel dan jatuh
 Ukuran:sesuai 
 Rancangan:lumayan  ",dewi Z.,23 Nov 2023,5
"Alhamdulillah barang Nya sudah sampai,,,,Bagus terimakasih lazada ",guest,02 Des 2023,5
"Beragam pilihan warna yang dapat dipilih., Mudah dipadukan dengan berbagai outfit.,  ",nunung D.,3 minggu lalu,5
"sesuai gmbar. 
cma yg army GK pke resleting SM kangcing. 
beda SM yg hitam pake resleting.
tpi ttp sesuai gmbar.
kerenlh pokok nya.👍 ",Sonia,25 Okt 2023,5
celanax keren pokokx suka dehhh asli bgus kainx nyaman d pke  ,guest,19 Des 2023,5
gak sesuai dengan gambar sangat tipis ,*********155,12 Jan 2024,5
"Celana kargo serbaguna untuk berbagai acara.,  ",Uci,04 Jan 2024,5
sukak sama celananya anjayyy bagusss bangett kyuttt imut lucu kata aku haha ,Sintia J.,15 Des 2023,5
baguss rekomen gais ,d***.,13 Jan 2024,5
"Desain highwaist sedang trendi., Desain highwaist sedang trendi., Celana kargo yang stylish dan modis.,  ",g***t,27 Des 2023,5
bahannya jatuh bgttttt sukakkkkkkk,0***8,08 Des 2023,5
makasih lazada celananya bagus g kecewa beli di toko ini toko nya sudah amanah bisa buat langanan ,*********030,4 minggu lalu,5
"Bahan:bahan nya tipis tapi ngga nerawang karena warna gelap 
 Ukuran:kebesaran banget harus tambah Keret pinggang nya
 Rancangan:bagus  ",8***7,27 Des 2023,5
"Mudah dipadukan dengan berbagai outfit., Bagus untuk aktivitas di luar ruangan.,  ",SITI W.,2 minggu lalu,5
"Bahan:lumayan bagus
 Ukuran:sesuai/pas
 Rancangan:bagus ",*********068,18 Des 2023,5
asli longgar banget😁😁😁😁😁 ,Andra V.,1 minggu lalu,5
bagus banget😀😀😀😀😀😀 ,Andra V.,1 minggu lalu,5
"Celana kargo yang stylish dan modis., Celana kargo yang stylish dan modis., ",Nur H.,2 minggu lalu,5
jahitanya rapih cuman bahannya tipis ,8***.,3 minggu lalu,5
mantulll ,Sumiyati S.,2 minggu lalu,5
bagus... ,*********061,30 Des 2023,5
okeeeeee ,Deliyanti,21 Okt 2023,5
wow keren,Uminya A.,02 Des 2023,5
real👍🥰 ,niaaaa,10 Nov 2023,5
,I***.,2 minggu lalu,4
"bagus bangett woyyy wajib beli sih ini, dengan harga yang  semurah itu menurutku kaya bahan cringcle enakk bangett dipake mau nangis bagus soalnya  ",Third-Party-User,04 Okt 2023,5
